experiment.id,a.primer,p1.primer,assay.type,evo.time.point,assay.time.point,replicate,medium,ploidy,n.mobyBCs.in.exp,n.mobyBCs.per.well,sample.set,pur.pool,proc.plate,barcode.1,barcode.2,barcode.3,barcode.4,barcode.5,barcode.6,barcode.7,barcode.8,barcode.9,barcode.10,barcode.11,barcode.12,barcode.13,barcode.14,barcode.15,barcode.16,barcode.17,barcode.18,barcode.19,barcode.20,barcode.21,barcode.22,barcode.23
0_M10_0_R1,Ion_24,Ion_R1,competition,T=0,T=0,R=1,CM+Ethanol,diploid,13,2,M10,r2,reprocess,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
0_M10_0_R2,Ion_24,Ion_R2,competition,T=0,T=0,R=2,CM+Ethanol,diploid,13,2,M10,r2,reprocess,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
0_M10_0_R3,Ion_24,Ion_R3,competition,T=0,T=0,R=3,CM+Ethanol,diploid,13,2,M10,r2,reprocess,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
0_M10_0_R4,Ion_24,Ion_R4,competition,T=0,T=0,R=4,CM+Ethanol,diploid,13,2,M10,r2,reprocess,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
0_M10_25_R1,Ion_24,Ion_R5,competition,T=25,T=0,R=1,CM+Ethanol,diploid,13,2,M10,r2,reprocess,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
0_M10_25_R2,Ion_24,Ion_R6,competition,T=25,T=0,R=2,CM+Ethanol,diploid,13,2,M10,r2,reprocess,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
0_M10_25_R3,Ion_24,Ion_R7,competition,T=25,T=0,R=3,CM+Ethanol,diploid,13,2,M10,r2,reprocess,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
0_M10_25_R4,Ion_24,Ion_R8,competition,T=25,T=0,R=4,CM+Ethanol,diploid,13,2,M10,r2,reprocess,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
3_M10_0_R1,Ion_25,Ion_R1,competition,T=0,T=3,R=1,CM+Ethanol,diploid,13,2,M10,r2,reprocess,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
3_M10_0_R2,Ion_25,Ion_R2,competition,T=0,T=3,R=2,CM+Ethanol,diploid,13,2,M10,r2,reprocess,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
3_M10_0_R3,Ion_25,Ion_R3,competition,T=0,T=3,R=3,CM+Ethanol,diploid,13,2,M10,r2,reprocess,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
3_M10_0_R4,Ion_25,Ion_R4,competition,T=0,T=3,R=4,CM+Ethanol,diploid,13,2,M10,r2,reprocess,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
3_M10_25_R1,Ion_25,Ion_R5,competition,T=25,T=3,R=1,CM+Ethanol,diploid,13,2,M10,r2,reprocess,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
3_M10_25_R2,Ion_25,Ion_R6,competition,T=25,T=3,R=2,CM+Ethanol,diploid,13,2,M10,r2,reprocess,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
3_M10_25_R3,Ion_25,Ion_R7,competition,T=25,T=3,R=3,CM+Ethanol,diploid,13,2,M10,r2,reprocess,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
3_M10_25_R4,Ion_25,Ion_R8,competition,T=25,T=3,R=4,CM+Ethanol,diploid,13,2,M10,r2,reprocess,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
25_S1_E,Ion_23,Ion_R1,evolution,T=25,,,CM,haploid,12,2,S1,r2,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,,
0_S11_E,Ion_17,Ion_R2,evolution,T=0,,,CM,diploid,22,2,S11,r1,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A8,d1H8,d1A9,d1H9,d1A10,d1H10,d1A11,d1H11,d1B1,d1C1,d1B2,d1C2,
10_S11_E,Ion_17,Ion_R3,evolution,T=10,,,CM,diploid,22,2,S11,r1,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A8,d1H8,d1A9,d1H9,d1A10,d1H10,d1A11,d1H11,d1B1,d1C1,d1B2,d1C2,
15_S11_E,Ion_17,Ion_R4,evolution,T=15,,,CM,diploid,22,2,S11,r1,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A8,d1H8,d1A9,d1H9,d1A10,d1H10,d1A11,d1H11,d1B1,d1C1,d1B2,d1C2,
20_S11_E,Ion_17,Ion_R5,evolution,T=20,,,CM,diploid,22,2,S11,r1,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A8,d1H8,d1A9,d1H9,d1A10,d1H10,d1A11,d1H11,d1B1,d1C1,d1B2,d1C2,
